Wavelength,Left Raw,Left Corrected,Left Fit,Right Raw,Right Corrected,Right Fit
366.58586213660897,297.0,401040622133.8821,6970636.418630657,352.0,751739920.2200671,666684872.348552
367.0124535402573,-38.0,-771795960189.1105,7133938.564233607,-57.0,-701989240.4883358,675811960.980786
367.43903918724715,-51.0,-732395866232.057,7300622.315774328,1.0,-9130167.756365426,685037625.5009294
367.8656190718538,53.0,471842678210.9521,7470747.816875975,52.0,37566622123.070625,694362595.274992
368.2921931883545,-26.0,3169833556831.417,7644376.086190048,12.0,-676463955.14997,703787601.6184177
368.71876153102374,12.0,-212000536676.61237,7821569.026801657,-13.0,-536868990.28503466,713313377.7724248
369.14532409413914,28.0,453193240837.349,8002389.435692268,60.0,595262439.5823005,722940658.8804098
369.57188087197596,-9.0,508912656364.33765,8186901.013250605,-19.0,-354402406.0076023,732670181.963952
369.99843185881105,-31.0,-3200176240457.0576,8375168.372839777,-14.0,-175146814.15600234,742502685.8988442
370.42497704892116,23.0,286670208146.2675,8567257.050414713,51.0,-4457747127.452892,752438911.3908824
370.85151643658315,-31.0,1828639312185.0022,8763233.514191477,-28.0,-496407222.65208745,762479600.9515038
371.2780500160738,-2.0,33649351248.431286,8963165.174368901,3.0,2427177959.01389,772625498.8733014
371.7045777816706,43.0,601965252101.1846,9167120.392901177,8.0,2187862531.9425054,782877351.2053964
372.13109972765005,17.0,213903491649.45587,9375168.493320467,-14.0,-264716325.38898396,793235905.7285949
372.55761584828963,-25.0,1169547042133.2268,9587379.770611761,-28.0,-908504964.0684347,803701911.9305071
372.98412613786803,69.0,714111229917.5698,9803825.501137178,32.0,882981203.1355144,814276120.9804785
373.4106305906617,46.0,26548570619929.4,10024577.952608187,-21.0,18213201762.8888,824959285.704286
373.8371292009485,12.0,-171264745701.6848,10249710.394110791,-36.0,-2435081046.2476993,835752160.558865
374.26362196300784,40.0,1582012904712.842,10479297.106178168,9.0,211146512.1188196,846655501.6068329
374.69010887111614,-19.0,-457097742042.44293,10713413.390909456,-39.0,-819738573.1053001,857670066.490739
375.11658991955284,9.0,304862004147.97876,10952135.582142616,-6.0,-140962496.16620484,868796614.4074699
375.5430651025958,47.0,1037515264622.0712,11195541.055669142,83.0,-4057540467.245222,880035906.0822364
375.9695344145244,30.0,-1044259728994.2723,11443708.239501065,36.0,-1694790405.514542,891388703.742647
376.39599784961695,16.0,298875048333.9212,11696716.624181323,73.0,3166886556.4041724,902855771.0924996
376.8224554021521,3.0,29711813987.419247,11954646.773143517,27.0,-1536454899.403969,914437873.2855529
377.24890706640963,-9.0,167784672182.8922,12217580.333117312,22.0,-937899493.2812418,926135776.8991731
377.67535283666854,-11.0,363731511301.79407,12485600.044578305,-4.0,-248451678.61029485,937950249.9077684
378.1017927072078,41.0,1145025749333.862,12758789.752244502,-13.0,-818370019.6442417,949882061.6561997
378.5282266723076,67.0,9102399847771.76,13037234.415618766,-17.0,-1020786195.710283,961931982.833097
378.9546547262474,68.0,2035282502587.455,13321020.119572692,-23.0,-4758665184.267693,974100785.4439209
379.38107686330716,-2.0,348811125954.5275,13610234.08497773,3.0,-142956064.19293022,986389242.7840861
379.8074930777671,20.0,673274153770.1948,13904964.679377986,-13.0,-345261626.1329956,998798129.4118699
380.233903363907,28.0,647027484844.7877,14205301.427706195,37.0,-1244691897.87258,1011328221.1212202
380.66030771600776,11.0,285161280315.60486,14511335.023043923,39.0,-4254065989.326704,1023980294.9145362
381.0867061283494,-3.0,137902153572.08176,14823157.337421322,46.0,-25420336077.934647,1036755128.9752594
381.5130985952133,41.0,636518014268.3154,15140861.432661207,42.0,-7838803593.8142605,1049653502.6404154
381.9394851108795,-29.0,-663490833303.6656,15464541.57126128,44.0,2496072707.5358505,1062676196.3730099
382.36586566962956,15.0,424957696198.21857,15794293.227320647,44.0,-1296850562.3630333,1075823991.7344418
382.7922402657445,13.0,1439181080413.4534,16130213.09750261,52.0,-1835030319.8764384,1089097671.356669
383.2186088935054,18.0,-14131206572738.51,16472399.112039769,33.0,-1145052628.52206,1102498018.914401
383.6449715471944,47.0,6229807128211.434,16820950.44577745,22.0,-939023275.1123776,1116025819.0971787
384.07132822109264,39.0,1083429516904.6696,17175967.529254165,-8.0,-440235524.8360967,1129681857.5812967
384.4976789094821,44.0,1709851241476.6868,17537552.05982268,-5.0,2043889413.7191956,1143466921.0017643
384.9240236066448,-6.0,413305018609.20844,17905807.01280644,-9.0,-798544057.0001038,1157381796.9240892
385.3503623068631,14.0,781444475266.9836,18280836.6526937,1.0,78636663.55791214,1171427273.8160157
385.7766950044189,10.0,126570410218.01595,18662746.54436719,11.0,14017912954.199972,1185604141.0191662
386.2030216935947,13.0,272331052237.42328,19051643.564370807,5.0,-131702890.18564025,1199913188.7206588
386.62934236867414,45.0,889637844333.894,19447635.912211753,55.0,-35947593380.768776,1214355207.9246402
387.05565702393864,18.0,-5285737071684.827,19850833.121692244,-21.0,-567363255.2106034,1228930990.423591
387.4819656536719,56.0,1189540157756.534,20261346.07228472,20.0,-26813535648.42415,1243641328.7698925
387.90826825215714,18.0,1478398477180.3628,20679287.00053103,47.0,10635109660.22165,1258487016.2469947
388.3345648136777,51.0,1505139510676.319,21104769.51147947,22.0,-5041077765.230802,1273468846.8407042
388.76085533251637,35.0,-2161658228066.9165,21537908.590152495,42.0,-2248898463.7065983,1288587615.21035
389.18713980295803,78.0,2814225059651.525,21978820.61304807,65.0,3665174244.3180723,1303844116.6599646
389.61341821928545,-1.0,-237459948596.26028,22427623.35966706,6.0,-276263561.8154339,1319239147.1092262
390.03969057578286,-38.0,-12181785811940.816,22884436.02407739,-23.0,-604362445.2889996,1334773503.0646038
390.46595686673476,24.0,424894419163.8472,23349379.226502858,5.0,-166277506.97840014,1350447981.5902314
390.89221708642503,9.0,554529222692.3729,23822575.02494315,-2.0,-105817519.61561334,1366263380.2788289
391.31847122913865,1.0,499030351189.7555,24304146.92682243,17.0,-12748514882.710928,1382220497.222582
391.74471928916006,27.0,2728107751359.157,24794219.900664892,70.0,5314341816.789101,1398320130.9839303
392.170961260774,4.0,340959628947.6251,25292920.38779731,14.0,-614848234.425075,1414563080.566328
392.59719713826564,1.0,29584791476.270824,25800376.314079527,29.0,-2148814658.2061267,1430950145.384994
393.02342691591963,24.0,679898707255.1239,26316717.101658877,17.0,-1029897405.4444283,1447482125.2375727
393.44965058802234,44.0,3591104671959.754,26842073.68075223,60.0,7358856518.268422,1464159820.2748306
393.8758681488584,81.0,9665654495272.633,27376578.501447964,43.0,-8674628411.998808,1480984030.9711823
394.30207959271416,67.0,1776379189313.2424,27920365.545538142,22.0,-11979255014.491169,1497955558.095364
394.72828491387503,23.0,1265273966524.3901,28473570.338366933,36.0,2834351129.575843,1515075202.6808941
395.15448410662736,24.0,485918462919.7038,29036329.960707754,22.0,18407347410.084797,1532343765.996666
395.5806771652569,1.0,16573725816.217812,29608783.060656536,24.0,-2258143432.417008,1549762049.5173757
396.0068640840507,4.0,228117981938.01855,30191069.86555165,80.0,-68560380510.92915,1567330854.8940678
396.4330448572949,-2.0,59194525027.84108,30783332.19390777,89.0,51459860249.995964,1585050983.9244852
396.85921947927585,-16.0,549705596011.33624,31385713.467374697,44.0,-2758464863.0238285,1602923238.5235496
397.2853879442812,23.0,453132229942.0023,31998358.722713564,36.0,63949123275.67132,1620948420.6937854
397.7115502465976,42.0,688209112813.8864,32621414.623788852,-8.0,-719014633.6751019,1639127332.4956548
398.13770638051307,51.0,678351581144.3586,33255029.47358182,27.0,2888847579.4579854,1657460776.0179949
398.563856340314,2.0,144087283265.24426,33899353.22621497,40.0,2103392176.9744093,1675949553.348275
398.99000012028824,16.0,1525198098805.7725,34554537.49900009,36.0,1915436681.98242,1694594466.5430706
399.41613771472413,-14.0,1755372471045.3462,35220735.58449567,7.0,573449454.2993441,1713396317.5983653
399.84226911790955,13.0,246143272937.1571,35898102.46258048,16.0,1129690246.5134883,1732355908.419868
400.268394324132,17.0,279729696447.70435,36586794.81253946,27.0,1531626375.5587416,1751474040.793322
400.69451332768017,28.0,302979058414.8258,37286971.02516738,47.0,1910627934.1658168,1770751516.3549297
401.1206261228427,37.0,395157959419.8336,37998791.214879625,94.0,3313581340.7160783,1790189136.561615
401.54673270390816,22.0,304544405574.95825,38722417.23183654,50.0,4160462860.6861615,1809787702.6613898
401.9728330651656,34.0,513570399429.1425,39458012.67407782,119.0,5226174427.169705,1829548015.6636713
402.39892720090376,5.0,135990910930.20995,40205742.89966736,42.0,7802794125.22752,1849470876.3096275
402.8250151054123,23.0,445620360424.34735,40965775.03884916,97.0,2156095616.378133,1869557085.04259
403.25109677298025,-27.0,569230370043.5557,41738278.00620565,29.0,2636465494.6251707,1889807441.9783127
403.67717219789694,-18.0,266671632753.07947,42523422.51283116,35.0,1645004735.4939046,1910222746.8754451
404.1032413744526,26.0,468512166098.91473,43321381.078508385,93.0,2925717115.168985,1930803799.1059105
404.52930429693726,84.0,952322360090.6123,44132328.043889664,86.0,3264492746.9841733,1951551397.6252732
404.9553609596407,55.0,667437845279.8306,44956439.582685485,102.0,4211505854.7099857,1972466340.9431765
405.38141135685305,-4.0,70977289186.21567,45793893.71385715,101.0,3239615824.9871817,1993549427.093812
405.80745548286524,12.0,126763740683.94249,46644870.31381454,75.0,2945120148.6223044,2014801453.6063883
406.23349333196796,-15.0,160246180814.9379,47509551.128613375,85.0,4372858932.316093,2036223217.4756253
406.6595248984519,-1.0,10433562132.091269,48388119.78615608,108.0,3129434609.9031525,2057815515.1322155
407.0855501766078,19.0,177383176806.99957,49280761.80839539,128.0,3848094631.3831716,2079579142.4134507
407.5115691607273,32.0,461544644858.21857,50187664.62353725,79.0,2101433337.2318628,2101514894.5337772
407.937581845102,59.0,543469927216.0323,51109017.57824357,138.0,2655689675.6348414,2123623566.055392
408.36358822402315,34.0,455062642512.66504,52045011.949831024,85.0,2948443233.830327,2145905950.8588681
408.7895882917823,31.0,328446392580.24,52995840.958472826,99.0,2372159627.0381193,2168362842.113852
409.2155820426722,25.0,275054916356.20807,53961699.77939641,103.0,1909361120.6489124,2190995032.2498384
409.64156947098377,22.0,278613878021.7388,54942785.55507018,87.0,1749932289.6126366,2213803312.926757
410.0675505710107,36.0,431103030877.6241,55939297.4074033,74.0,1908257977.087826,2236788475.0060425
410.4935253370444,-9.0,127276016975.59283,56951436.449913844,66.0,3272717331.442007,2259951308.521138
410.9194937633785,-4.0,47590506276.75306,57979405.799920395,66.0,1962120236.1727264,2283292602.6486998
411.3454558443051,13.0,132308023854.5401,59023410.59070014,109.0,2471353549.916597,2306813145.679274
411.77141157411796,-2.0,22878992857.12383,60083657.98366072,78.0,1887144195.5796049,2330513724.9884577
412.19736094710987,40.0,380055996086.27515,61160357.18048617,143.0,2641453772.5353017,2354395127.007797
412.62330395757425,-10.0,129698660145.54602,62253719.43528551,100.0,1745212395.0394535,2378458137.1959457
413.0492405998056,10.0,91174723023.98488,63363958.06672813,105.0,1902073905.51206,2402703540.009841
413.47517086809637,-50.0,458477576306.7303,64491288.47015708,139.0,2326613103.8168774,2427132118.875668
413.90109475674177,-13.0,107950575956.39687,65635928.129714355,141.0,2476720768.767571,2451744656.16046
414.3270122600353,11.0,82943078865.6867,66798096.63042496,136.0,3354800824.4101167,2476541933.143072
414.7529233722723,34.0,257031611590.95264,67978015.67029174,115.0,2436066846.262598,2501524729.9858017
