L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,R12,
NF,M4CLR,BS4CLR,IRIS,NDFT70,NDFT50,NDFT10,M20x1,M20x2,MInGaAs,IRFCam,MRuby,Calib File
1,0,0,1,0,0,0,0,0,0,1,0,L_2255K_15x_wI
1,0,0,1,1,0,0,0,0,0,1,0,L_2255K_15x_wI_T70
1,0,0,1,0,1,0,0,0,0,1,0,L_2255K_15x_wI_T50
1,0,0,1,1,1,0,0,0,0,1,0,L_2255K_15x_wI_T7050
1,0,0,1,0,0,1,0,0,0,1,0,L_2255K_15x_wI_T10
1,0,0,1,1,0,1,0,0,0,1,0,L_2255K_15x_wI_T70T10
1,0,0,1,0,1,1,0,0,0,1,0,L_2255K_15x_wI_T50T10
1,0,0,1,1,1,1,0,0,0,1,0,L_2255K_15x_wI_T70T50T10
1,0,0,0,0,0,0,0,0,0,1,0,L_2255K_15x_woI
1,0,0,0,1,0,0,0,0,0,1,0,L_2255K_15x_woI_T70
1,0,0,0,0,1,0,0,0,0,1,0,L_2255K_15x_woI_T50
1,0,0,0,1,1,0,0,0,0,1,0,L_2255K_15x_woI_T7050
1,0,0,0,0,0,1,0,0,0,1,0,L_2255K_15x_woI_T10
1,0,0,0,1,0,1,0,0,0,1,0,L_2255K_15x_woI_T70T10
1,0,0,0,0,1,1,0,0,0,1,0,L_2255K_15x_woI_T50T10
1,0,0,0,1,1,1,0,0,0,1,0,L_2255K_15x_woI_T70T50T10
1,0,0,1,0,0,0,1,1,0,1,0,L_2255K_20x_wI
1,0,0,1,1,0,0,1,1,0,1,0,L_2255K_20x_wI_T70
1,0,0,1,0,1,0,1,1,0,1,0,L_2255K_20x_wI_T50
1,0,0,1,1,1,0,1,1,0,1,0,L_2255K_20x_wI_T7050
1,0,0,1,0,0,1,1,1,0,1,0,L_2255K_20x_wI_T10
1,0,0,1,1,0,1,1,1,0,1,0,L_2255K_20x_wI_T70T10
1,0,0,1,0,1,1,1,1,0,1,0,L_2255K_20x_wI_T50T10
1,0,0,1,1,1,1,1,1,0,1,0,L_2255K_20x_wI_T70T50T10
1,0,0,0,0,0,0,1,1,0,1,0,L_2255K_20x_woI
1,0,0,0,1,0,0,1,1,0,1,0,
1,0,0,0,0,1,0,1,1,0,1,0,
1,0,0,0,1,1,0,1,1,0,1,0,
1,0,0,0,0,0,1,1,1,0,1,0,
1,0,0,0,1,0,1,1,1,0,1,0,
1,0,0,0,0,1,1,1,1,0,1,0,
1,0,0,0,1,1,1,1,1,0,1,0,
